owner,repo,workflow,action
DJR-TestOrg-1,DemoOne,.github/workflows/simple.yml,actions/checkout@v2
tspascoal-demo,demo-issueops,.github/workflows/action-issuesops-create-repository.yml,actions/github-script@v4
tspascoal-demo,demo-issueops,.github/workflows/action-issuesops-create-repository.yml,actions/github-script@v5
tspascoal-demo,demo-issueops,.github/workflows/action-issuesops-create-repository.yml,peter-murray/workflow-application-token-action@v1
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,./actions/provision-and-deploy
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,./actions/provision-and-deploy
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,./actions/provision-and-deploy
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,5monkeys/cobertura-action@v12
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,actions/checkout@v2
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,actions/checkout@v2
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,actions/checkout@v2
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,actions/checkout@v2
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,actions/checkout@v2
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,actions/checkout@v2
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,actions/checkout@v2
tspascoal-tests,MyShuttle-1,.github/workflows/maven-publish.yml,actions/checkout@v2
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,actions/setup-java@v2
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,actions/setup-java@v2
tspascoal-tests,MyShuttle-1,.github/workflows/maven-publish.yml,actions/setup-java@v2
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,actions/upload-artifact@v1
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,actions/upload-artifact@v1
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,actions/upload-artifact@v2
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,aliencube/arm-ttk-actions@v0.3
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,anchore/sbom-action@v0
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,anchore/scan-action@v3
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,aquasecurity/trivy-action@master
tspascoal-tests,MyShuttle-1,.github/workflows/pr-closed.yml,Azure/cli@v1
tspascoal-tests,MyShuttle-1,.github/workflows/pr-closed.yml,azure/login@v1
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,bridgecrewio/checkov-action@v12.1347.0
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,EnricoMi/publish-unit-test-result-action@v1
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,github/codeql-action/analyze@v1
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,github/codeql-action/autobuild@v1
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,github/codeql-action/init@v1
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,github/codeql-action/upload-sarif@v1
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,github/codeql-action/upload-sarif@v1
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,github/codeql-action/upload-sarif@v1
tspascoal-tests,MyShuttle-1,.github/workflows/ci-cd.yml,marocchino/sticky-pull-request-comment@v2
tspascoal-tests,MyShuttle-1,.github/workflows/pr-closed.yml,marocchino/sticky-pull-request-comment@v2
tspascoal-tests,MyShuttle-1,.github/workflows/delete-runs.yml,Mattraks/delete-workflow-runs@main
tspascoal-tests,MyShuttle-1,.github/workflows/pr-closed.yml,peter-murray/workflow-application-token-action@v1
